01FFC714    OS_IrqHandler_ThreadSwitch
020A3CE8    DC_InvalidateAll
020A3CE8    DC_InvalidateAll
020A3CF4    DC_StoreAll
020A3CF4    DC_StoreAll
020A3D20    DC_FlushAll
020A3D20    DC_FlushAll
020A3D54    DC_InvalidateRange
020A3D54    DC_InvalidateRange
020A3D70    DC_StoreRange
020A3D70    DC_StoreRange
020A3D8C    DC_FlushRange
020A3D8C    DC_FlushRange
020A3DB0    DC_WaitWriteBufferEmpty
020A3DB0    DC_WaitWriteBufferEmpty
020A3DBC    IC_InvalidateAll
020A3DBC    IC_InvalidateAll
020A3DC8    IC_InvalidateRange
020A3DC8    IC_InvalidateRange
020A3DE4    OSi_WaitVCount0
020A3E04    OS_Init
020A3E4C    OS_InitArena
020A3F50    OS_InitArenaEx
020A3FBC    OS_GetArenaHi
020A3FBC    OS_GetArenaHi
020A3FD0    OS_GetArenaLo
020A3FD0    OS_GetArenaLo
020A3FE4    OS_GetInitArenaHi
020A40C8    OS_GetInitArenaLo
020A4170    OS_SetArenaHi
020A4170    OS_SetArenaHi
020A4184    OS_SetArenaLo
020A4184    OS_SetArenaLo
020A4198    OS_EnableITCM
020A4198    OS_EnableITCM
020A41A8    OS_EnableDTCM
020A41A8    OS_EnableDTCM
020A41CC    OS_EnableProtectionUnit
020A41CC    OS_EnableProtectionUnit
020A41DC    OS_DisableProtectionUnit
020A41DC    OS_DisableProtectionUnit
020A41EC    OS_SetDPermissionsForProtectionRegio
020A4280    OSi_ExceptionHandler
020A4308    OSi_SetExContext
020A4308    OSi_SetExContext
020A4414    OSi_SetTimerReserved
020A4414    OSi_SetTimerReserved
020A4430    OS_InitTick
020A44A8    OS_IsAlarmAvailable
020A44A8    OS_IsVAlarmAvailable
020A44B8    OSi_CountUpTick
020A4520    OS_GetTick
020A45C0    OS_GetTickLo
020A45C0    OS_IsVAlarmAvailable
020A45D0    OSi_SetTimer
020A465C    OS_InitAlarm
020A469C    OS_IsAlarmAvailable
020A469C    OS_IsVAlarmAvailable
020A46AC    OS_CreateAlarm
020A46AC    OS_CreateAlarm
020A46BC    OSi_InsertAlarm
020A47E8    OS_SetAlarm
020A4854    OS_CancelAlarm
020A48DC    OSi_AlarmHandler
020A48EC    OSi_ArrangeTimer
020A49DC    OS_InitVAlarm
020A4A24    OS_EnableInterrupts
020A4A24    OS_EnableInterrupts
020A4A38    OS_DisableInterrupts
020A4A38    OS_DisableInterrupts
020A4A4C    OS_RestoreInterrupts
020A4A4C    OS_RestoreInterrupts
020A4A64    OS_DisableInterrupts_IrqAndFiq
020A4A64    OS_DisableInterrupts_IrqAndFiq
020A4A78    OS_RestoreInterrupts_IrqAndFiq
020A4A78    OS_RestoreInterrupts_IrqAndFiq
020A4A90    OS_GetCpsrIrq
020A4A90    OS_GetCpsrIrq
020A4A9C    OS_GetProcMode
020A4A9C    OS_GetProcMode
020A4AA8    OS_SpinWait
020A4AA8    OS_SpinWait
020A4AD0    OS_InitReset
020A4B24    OSi_CommonCallback
020A4B58    OSi_SendToPxi
020A4C40    OS_GetMacAddress
020A4C40    OS_GetMacAddress
020A4C5C    OS_GetOwnerInfo
020A4CE8    OSi_InitVramExclusive
020A4CE8    OSi_InitVramExclusive
020A4D1C    OSi_UnlockVram
